,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2207180_10x_vs_GM_DMSO,dPSI_GM_BIO_2207180_3x_vs_GM_DMSO
ABCB8,NA,NA,0.408,0.443
AC006059.1,0.7794,0.4787,0.4745,0.4986
AC009022.1,0.775185753878901,0.28899811653141,0.593167923532943,0.370836640702119
AC093157.1,NA,0.349,NA,NA
ARL15,NA,NA,0.555,0.493
ASAP1,NA,NA,0.399,0.393767658502077
AXIN1,NA,NA,0.338766477780747,NA
C12orf4,0.38622379738291,NA,NA,NA
CAND2,0.5425,NA,NA,NA
CCDC136,0.321,NA,NA,NA
CECR7,0.565000779241771,0.534367051673156,NA,NA
CEMIP,0.4156,NA,NA,NA
CHEK1,NA,NA,0.4519,NA
CMAHP,0.295637183768856,NA,0.39737173779707,NA
DENND1A,0.26303378165052,NA,NA,NA
DENND5A,0.77,NA,NA,NA
DNAJC27,NA,NA,0.262825652372335,NA
DRG2,0.304,NA,NA,NA
ENAH,NA,NA,0.3569,NA
EXOC6B,NA,NA,0.268836399616002,NA
FAM162A,0.316042385012033,NA,NA,NA
FAM174A,0.302543099531048,NA,NA,NA
FBN2,0.748154577611698,0.689503472893666,0.721702135936658,0.684968457348281
FOXM1,0.457,NA,0.270310875406152,NA
GALC,0.462,NA,NA,NA
GCFC2,0.365807565930257,NA,NA,NA
GGCT,0.3812,NA,NA,NA
GNG12,NA,NA,0.446449476509928,0.35765431149157
GSDMB,0.408310001574108,NA,0.407943845338673,NA
GXYLT1,NA,NA,0.593120553767471,0.512855627532881
HDX,NA,NA,0.321961523950937,NA
HIKESHI,0.369,NA,NA,NA
HYAL3,NA,NA,NA,0.302
KDM6A,NA,NA,0.31,0.393282897573028
L3MBTL2.AS1,0.375,NA,NA,NA
LARP7,0.77,0.711,0.619,0.545
LRRC42,NA,NA,0.452,0.356
MADD,NA,NA,0.336853492133692,NA
MFN2,0.3864,NA,NA,NA
MFSD13A,NA,0.4168621474492,NA,NA
MON1A,NA,NA,0.41,0.35
NGF,0.557932602094686,0.316605428815716,0.323666452120544,NA
PDE7A,0.391775711056322,NA,0.719493443609017,0.609732104576477
PDXDC1,0.417331733850713,NA,NA,NA
PDXDC2P,0.7405,NA,0.574,NA
PMS1,0.30167652602251,NA,NA,NA
POMT2,0.766,0.388,0.573,0.422
PPIEL,NA,0.419,0.368,NA
PRUNE2,0.494,NA,NA,NA
RAPGEF1,0.314,NA,NA,NA
RTN4,NA,NA,0.355137407396655,NA
SAR1A,0.7061,NA,NA,NA
SENP6,0.74,NA,NA,NA
SERGEF,0.253778290139916,NA,NA,NA
SIPA1L1,NA,NA,NA,0.354463069974397
SLC12A4,NA,NA,NA,0.343
SLC25A17,0.399,NA,NA,NA
SLC7A6,0.313667986220715,NA,NA,NA
SMN2,0.45,0.382,0.382,0.357
SNAP23,0.328,NA,NA,NA
SOS2,0.277630626748413,NA,NA,NA
STRN3,0.625,0.337,0.472,0.356
TAF2,NA,NA,0.487,0.397
TEX26.AS1,0.4807,NA,0.4506,NA
TPTEP2,0.792531134808141,0.5217,NA,NA
TRIM65,NA,NA,0.331,NA
VPS29,0.301,NA,0.45,0.428
WDR91,0.304616495223268,NA,NA,NA
ZNF467,0.31,NA,NA,NA
ZNF577,NA,NA,NA,0.316
