,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2178782_10x_vs_GM_DMSO,dPSI_GM_BIO_2178782_3x_vs_GM_DMSO
ABCA6,NA,NA,0.393859908608521,NA
ABCB8,NA,NA,0.955,0.407
AC004784.1,NA,NA,0.4206,NA
AC006059.1,0.7794,0.4787,0.788,NA
AC009022.1,0.775185753878901,0.28899811653141,0.963581180859131,0.800802296757206
AC020915.3,NA,NA,0.30800644388896,NA
AC068547.1,NA,NA,0.8424,NA
AC093157.1,NA,0.349,NA,0.304
AC114490.2,NA,NA,0.6177,NA
AC138894.1,NA,NA,0.305,NA
ADAL,NA,NA,0.382846753050587,NA
ADCY3,NA,NA,0.306541961406066,NA
ADGRL1,NA,NA,0.395538993889467,0.320691779640697
AGPS,NA,NA,0.285205603994979,NA
ANXA11,NA,NA,0.4217,NA
AP001816.1,NA,NA,NA,0.289730307562497
APLP2,NA,NA,0.347,NA
APPL2,NA,NA,0.6244,NA
ARHGAP5,NA,NA,0.322280678816675,NA
ARL15,NA,NA,0.945,0.738
ARMCX6,NA,NA,0.302,NA
ARSJ,NA,NA,0.505712437448284,NA
ASAP1,NA,NA,0.994,0.69
ASAP2,NA,NA,0.322,NA
ASCC3,NA,NA,0.281056646987769,NA
ATG2B,NA,NA,0.300450679015536,NA
AXIN1,NA,NA,0.565,0.338
BECN1,NA,NA,0.5517,NA
C12orf4,0.38622379738291,NA,0.926597702180879,0.668086103646959
C14orf132,NA,NA,0.599,0.320116376222579
CACNA2D1,NA,NA,0.437022561554109,NA
CACNB1,NA,NA,0.551794862616977,0.314389282530559
CACNB4,NA,NA,0.477,NA
CAND2,0.5425,NA,0.6562,0.4898
CCDC136,0.321,NA,NA,NA
CCT7,NA,NA,0.343,NA
CDC37L1,NA,NA,0.306033734931984,NA
CECR7,0.565000779241771,0.534367051673156,0.888635544624269,0.672423216233272
CEMIP,0.4156,NA,0.5578,0.3909
CENPI,NA,NA,0.6578,NA
CEP162,NA,NA,0.279311968886539,NA
CHD9,NA,NA,0.451064849532941,NA
CHEK1,NA,NA,0.308,0.3822
CIP2A,NA,NA,0.585973492526128,NA
CLK4,NA,NA,0.312,NA
CMAHP,0.295637183768856,NA,NA,NA
CNTN3,NA,NA,0.408142835184278,NA
COPS7B,NA,NA,0.464,NA
CRISPLD2,NA,NA,0.329,NA
CSF1,NA,NA,0.284680211465476,NA
CTNS,NA,NA,0.322921169636297,NA
DCAF17,NA,NA,0.465978727260397,NA
DDX42,NA,NA,0.358016308282192,NA
DENND1A,0.26303378165052,NA,0.533474273050394,NA
DENND5A,0.77,NA,0.814,NA
DHFR,NA,NA,0.432451713233999,NA
DIAPH3,NA,NA,0.3945,NA
DLGAP4,NA,NA,0.491,0.404
DNAJC27,NA,NA,0.312784252593875,NA
DPH1,NA,NA,0.409170984716591,NA
DRG2,0.304,NA,0.396,NA
DYRK1A,NA,NA,0.330080831941138,NA
ELMO2,NA,NA,0.35,NA
EMSY,NA,NA,0.414602199801735,NA
ENAH,NA,NA,0.4942,NA
ERGIC3,NA,NA,0.925,0.342488152683011
ERRFI1,NA,NA,0.8081,NA
EVC,NA,NA,0.77252870214723,0.286993526443728
EXOC6B,NA,NA,0.708,0.307
FAAP20,NA,NA,0.582,0.379
FAM162A,0.316042385012033,NA,0.405,NA
FAM174A,0.302543099531048,NA,0.367,0.296666276862955
FAM3A,NA,NA,0.4386,NA
FAM86FP,NA,NA,0.400082297052745,NA
FBN2,0.748154577611698,0.689503472893666,0.75773137120096,0.745179873352135
FCHO2,NA,NA,0.274720660279177,NA
FES,NA,NA,0.361,NA
FOXM1,0.457,NA,0.622,0.341836938947606
GALC,0.462,NA,0.751,NA
GCFC2,0.365807565930257,NA,0.579082816728046,NA
GGCT,0.3812,NA,0.3814,NA
GNAQ,NA,NA,0.4374,NA
GNG12,NA,NA,0.815627165517935,0.618200101198701
GSDMB,0.408310001574108,NA,0.394706719928888,NA
GXYLT1,NA,NA,0.568048575885098,0.265507034064389
HAUS3,NA,NA,0.5626,NA
HDX,NA,NA,0.709,0.446469219930079
HIKESHI,0.369,NA,0.541,NA
HTT,NA,NA,0.925651093018081,0.361966863901289
HYAL3,NA,NA,NA,0.329
IFT57,NA,NA,0.27593097957919,NA
IL17RA,NA,NA,0.33491654605177,NA
INVS,NA,NA,0.44,NA
KDM6A,NA,NA,0.83,0.484
KIF3A,NA,NA,0.31,NA
L3MBTL2.AS1,0.375,NA,NA,NA
LARP7,0.77,0.711,0.893,0.784
LINC00707,NA,NA,0.6814,NA
LINC02210,NA,NA,0.622903083661805,0.351216575883066
LNPK,NA,NA,0.337747647729083,NA
LRRC42,NA,NA,0.659,0.493
LYRM1,NA,NA,0.692,0.365
MADD,NA,NA,0.965,0.344434483780393
MAN1A2,NA,NA,0.358069083081382,NA
MELTF,NA,NA,0.5097,NA
MFN2,0.3864,NA,0.339,NA
MFSD13A,NA,0.4168621474492,NA,NA
MLLT10,NA,NA,0.818659036468799,0.306416371780063
MMS22L,NA,NA,0.635151393540878,NA
MYCBP2,NA,NA,0.443,NA
NELFA,NA,NA,0.302957298549768,NA
NGF,0.557932602094686,0.316605428815716,0.664963626839337,0.398335381561679
NIPA1,NA,NA,0.310150018502056,NA
NUP58,NA,NA,0.531,0.30483338045269
OCLNP1,NA,NA,0.9292,NA
ODR4,NA,NA,0.480669767083862,NA
PDE7A,0.391775711056322,NA,0.824,0.617740532302872
PDXDC1,0.417331733850713,NA,0.90933432806146,0.430468607633158
PDXDC2P,0.7405,NA,0.9578,0.7407
PI16,NA,NA,0.7381,NA
PITPNB,NA,NA,0.327018923864406,NA
PMS1,0.30167652602251,NA,0.3896187898352,NA
PNISR,NA,NA,0.509162018671626,0.290405570902685
POMT2,0.766,0.388,0.93,0.784
PPIEL,NA,0.419,NA,NA
PPIP5K2,NA,NA,0.252562606007147,NA
PRKACB,NA,NA,0.4033,NA
PRUNE2,0.494,NA,0.65,0.319
RAB2B,NA,NA,0.490414218334802,NA
RAF1,NA,NA,0.339852958991567,NA
RAP1A,NA,NA,0.42,NA
RAPGEF1,0.314,NA,0.469,NA
RBKS,NA,NA,0.4857,NA
RCC1,NA,NA,0.526690927944866,0.4583
RGS3,NA,NA,0.297031609989924,NA
RNF213,NA,NA,0.30776507839333,NA
RTN4,NA,NA,0.354577851545149,NA
SAR1A,0.7061,NA,0.6964,0.4844
SDCBP2.AS1,NA,NA,0.414,0.331
SENP6,0.74,NA,0.652,0.5509
SERGEF,0.253778290139916,NA,0.2675735234034,NA
SF3B3,NA,NA,0.467087751756213,NA
SH3YL1,NA,NA,0.453,NA
SHOC2,NA,NA,0.594,NA
SKP1,NA,NA,0.7517,0.7089
SLC12A2,NA,NA,0.263177788271143,NA
SLC16A7,NA,NA,0.27036524636687,NA
SLC25A17,0.399,NA,0.462,NA
SLC7A6,0.313667986220715,NA,0.54,0.350467235948828
SMN2,0.45,0.382,0.455,0.435
SMTN,NA,NA,0.526,NA
SNAP23,0.328,NA,NA,NA
SNHG16,NA,NA,0.401,0.364
SOS2,0.277630626748413,NA,NA,NA
SPIDR,NA,NA,0.670135250302557,NA
SPIN3,NA,NA,0.36,NA
SPPL2B,NA,NA,0.317851317557969,NA
SQOR,NA,NA,0.319345331761066,NA
SREK1,NA,NA,0.42,NA
STRN3,0.625,0.337,0.818,0.619
STRN4,NA,NA,0.320605285536301,NA
STXBP6,NA,NA,0.5556,NA
TAF2,NA,NA,0.68,0.471
TARBP1,NA,NA,0.346137033812886,NA
TASP1,NA,NA,0.426554305875512,NA
TCF4,NA,NA,0.4455,NA
TENT2,NA,NA,0.418672627580017,NA
TEX26.AS1,0.4807,NA,0.606,NA
TIAM1,NA,NA,0.587264473095092,0.485142274660534
TJP2,NA,NA,0.301219158896937,NA
TMEM214,NA,NA,0.482584463893729,NA
TMEM237,NA,NA,NA,0.533182727654247
TMEM50B,NA,NA,0.3,NA
TNRC6A,NA,NA,0.4564,NA
TNS3,NA,NA,0.331859519995026,NA
TOE1,NA,NA,0.331703874715513,NA
TPTEP2,0.792531134808141,0.5217,0.775198920105683,0.499328352839217
TRIM65,NA,NA,0.337,0.335
URGCP,NA,NA,0.4114,NA
VAV2,NA,NA,0.281464312001875,NA
VPS29,0.301,NA,0.741,0.489
WDR27,NA,NA,0.836199458013178,NA
WDR91,0.304616495223268,NA,0.337612869671036,NA
WNK1,NA,NA,0.466641442138379,NA
WSB1,NA,NA,0.436,NA
XRN2,NA,NA,0.450853735316419,NA
YPEL5,NA,NA,0.433,NA
ZFP82,NA,NA,0.7137,0.391579799029057
ZMIZ2,NA,NA,0.393172826338086,NA
ZMYM6,NA,NA,0.311867576881559,0.320849051197605
ZNF138,NA,NA,0.544632135046304,NA
ZNF25,NA,NA,0.29766030071212,NA
ZNF350,NA,NA,0.372212234224509,NA
ZNF467,0.31,NA,NA,NA
ZNF544,NA,NA,0.4479,NA
ZNF618,NA,NA,0.374,NA
ZNF680,NA,NA,0.507520818887106,NA
ZNF7,NA,NA,NA,0.399
