Genes,NGN2.BIO1755497.00012nM,NGN2.BIO2006152.00045nM,NGN2.BIO2059811.00261nM,NGN2.BIO2135644.00300nM
POMT2,0.87600936909891,0.849396845818383,1,0.994
LIMCH1,0.804160970461845,0.870031960548022,0.888705654827717,0.894773043985855
ARL15,0.601,0.903,0.916,0.942
WDR27,0.78085981212284,0.654133809959983,0.91806609295561,0.945426667830726
PDE7A,0.68317053218676,0.690279875508941,0.972149132727405,0.908775084680578
SENP6,0.496893275956363,0.809510657831542,0.969123900582296,0.974234462772648
LARP7,0.695887728658132,0.64150624490935,0.94134502677049,0.941252148104389
TENT2,0.573574496593063,0.662459945972366,0.961061292526196,0.941390696807802
HTT,0.654016831795615,0.805973463387376,0.875686924206726,0.794462109007742
RAF1,0.646281020283645,0.712124502742946,0.89659836368152,0.874247143070438
KLHL1,0.781045579156179,0.781298617173033,0.596640586093922,0.896530467652832
GCFC2,0.274826298733939,0.726673690562951,0.986903499431332,0.96932360545721
HDX,0.70905622941604,0.533721925356221,0.830871809495221,0.801
DLGAP4,0.69,0.677,0.681,0.820778624127886
ASCC3,0.379595336594426,0.556870213073954,0.954998254813177,0.950413080205819
STRN3,0.568180527496797,0.568,0.779,0.901
XRN2,0.493448104052929,0.682093387675731,0.828313222111844,0.804250662036496
TAF2,0.597563956827978,0.602290290246322,0.7600587546647,0.679680173854714
DENND1A,0.689717980910128,0.620750310236184,0.612982373850495,0.707085928774405
SERGEF,0.314,0.542,0.930875390611718,0.81617044128351
C12orf4,0.419325106285347,0.558570597310026,0.923070801462847,0.6798342288505
LINC02210,0.686253807411229,0.609505967818361,0.498160813027148,0.771767517461267
KDM6A,0.535120598356663,0.561785302579583,0.748386696620096,0.713564967605227
LRRC42,0.558,0.592,0.651,0.736
GALC,0.206130622500997,0.381885538931507,0.974218234895904,0.970348279542582
AXIN1,0.451584389238053,0.504826180575443,0.78544145948249,0.759
EVC,0,0.565231169591333,0.956857054278863,0.969036334473302
USP9Y,0.317496608271164,0.323656593573962,0.904990025171242,0.921227931121165
CLASP2,0.495402384307501,0.525657330293469,0.66938482544924,0.751837104688373
NUP58,0.779,0.754,0.117,0.764
RAPGEF1,0.272,0.470805231036038,0.865191269459298,0.786783828841051
SLC25A17,0.295609813914665,0.352,0.906,0.832955753165022
ABCB8,0.539613556828107,0.548762841164165,0.636105005403173,0.647073532880751
NKAIN2,0.244729095385382,0.455656830254495,0.904729264986544,0.756702491731071
PDXDC1,0.533637122956989,0.593902347677396,0.945518046947304,0.269059209672918
DHFR,0.458642857701118,0.433083047517275,0.691835568320132,0.714150418088006
RBBP8,0.479121755886868,0.449765908980173,0.667952960367946,0.694785977594186
CNGA3,0,0.571497777266498,0.957741304860867,0.738175412841636
LRIG2,0.320785598688444,0.369327567100596,0.846236079165616,0.721043840772096
SKP1,0.541164303486079,0.677266495219011,0.373,0.649026586416802
APLP2,0.28719272694788,0.368633750669183,0.823493065360267,0.752812497126751
