geneSymbol,chr:region
DENND5A,chr11:9192224-9198419
APIP,chr11:34916557-34937875
C11orf73,chr11:86017424-86048521
APLP2,chr11:129992308-129993607
FOXM1,chr12:2968729-2973586
PPHLN1,chr12:42729676-42749063
DGKA,chr12:56333213-56333966
VPS29,chr12:110933908-110939954
STRN3,chr14:31382763-31398507
POMT2,chr14:77753065-77753676
SNAP23,chr15:42805094-42805472
FBXO31,chr16:87393872-87417111
DDX42,chr17:61882435-61883454
TRIM65,chr17:73887328-73887994
MFN2,chr1:12040441-12041967
MFN2,chr1:12040441-12042127
ZNF326,chr1:90470703-90473004
EXTL2,chr1:101343359-101344080
EXTL2,chr1:101343903-101354409
RAP1A,chr1:112162456-112234056
RAP1A,chr1:112170085-112234056
NGF,chr1:115836271-115843118
NGF,chr1:115836271-115880925
UBAP2L,chr1:154234073-154234749
CECR7,chr22:17528216-17535955
CECR7,chr22:17566019-17578052
COPS7B,chr2:232653342-232655732
COPS7B,chr2:232655783-232656543
FAM162A,chr3:122103046-122121707
EVC,chr4:5735062-5743161
LARP7,chr4:113558295-113558900
LARP7,chr4:113558843-113559874
FAM198B,chr4:159076877-159091718
PAPD4,chr5:78936919-78938755
FAM174A,chr5:99897792-99917151
GRAMD3,chr5:125801137-125802086
FBN2,chr5:127800514-127850470
FBN2,chr5:127800514-127855066
FBN2,chr5:127850350-127855066
SREK1,chr5:65459650-65460536
SREK1,chr5:65459650-65460711
SMN2,chr5:69366478-69372448
SENP6,chr6:76331241-76333716
ASCC3,chr6:100957309-100957973
GGCT,chr7:30538454-30544285
TNS3,chr7:47336711-47337003
TNS3,chr7:47336711-47341884
GAPVD1,chr9:128103443-128104131
GAPVD1,chr9:128103443-128104598
RAPGEF1,chr9:134477436-134479448
RAPGEF1,chr9:134477436-134497283
RAPGEF1,chr9:134479340-134497283
VAV2,chr9:136677238-136695945
VAV2,chr9:136677238-136699494
VAV2,chr9:136698400-136699494
MADD,chr11:47312267-47315534
