,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH
AADAT,0.253850152747863
ABCA5,0.263589119772777
ABCB9,0.276104136589632
AC009022.1,0.293381479270152
AC009053.2,0.433290296003092
AC009533.1,0.341988431543286
AC026191.1,-0.253457677316376
AC138649.1,-0.47797587263188
AC233968.1,0.332326108469099
ACAD10,0.272691246472716
ACAD11,-0.345590431106809
ACBD6,-0.325799902909892
ACIN1,-0.262239554185409
ACOT2,0.280104932218912
ACOT8,0.274975948643421
ACSS3,-0.340009965134282
ACTR3B,-0.291960871123661
ADAM17,0.250762284600916
ADAMTS19,-0.46840690407823
ADPRM,0.378206328171176
ADSS1,0.250507404669978
AGFG2,-0.257128468031562
AGO3,-0.353799694502156
AGPAT4,0.293014674877126
AKAP17A,-0.34685957638775
AKAP8,-0.312650985961037
AKAP8L,0.286031431614942
AL009179.1,-0.344932549468189
AL590705.3,0.308596103136027
ANKIB1,-0.309464102196524
ANKLE2,-0.253001298516496
ANKRA2,-0.309688190233156
ANKRD10,-0.286224492535241
ANKRD16,0.273066521079222
AP002495.1,-0.271394316596992
AP2M1,0.311126996834418
APBB3,0.353271702830108
APLF,-0.34506991864457
ARIH1,-0.266509930464264
ARSK,-0.408924139159011
ASTE1,-0.252354039045413
ATAD2B,-0.294185384529933
ATF2,-0.444878545398076
ATP13A1,0.341521571493038
ATRX,-0.436713991103423
AUH,-0.250382081772378
BCL9,0.253707309338241
BCLAF1,-0.304763126301882
BCLAF3,-0.350312154835479
BEND6,-0.277496400393409
BMP1,0.318867960374055
BMS1P15,0.270565824122919
BRD2,-0.28879633492696
BRD4,-0.294283704010282
BRD7,0.291138131708524
BRWD3,-0.26433155384058
BTN2A1,-0.291663720832168
BTN3A3,0.271066130890297
C16orf95,-0.256394685448851
C5orf22,-0.308568285276849
C6orf136,0.496933075925916
C6orf52,0.302584635855253
CACNA2D3,0.328489544184766
CACNB4,-0.263505672317386
CACTIN,0.279102940085212
CAPN10,0.263046426292401
CASKIN1,0.336737815021975
CASP2,-0.475734601024871
CBWD2,-0.267465552106953
CBWD3,-0.327818860998362
CBWD5,-0.360249168814723
CBWD6,-0.261278251503529
CCDC150,-0.275581515837806
CCDC162P,0.298492009736416
CCDC84,0.410529612335797
CCHCR1,0.250649935040474
CCNT2,0.298821249707661
CDK11A,0.279700975940469
CDKN2AIP,0.452343491918479
CEP250,-0.301432717194477
CEP76,0.264400365723114
CEP83,0.279858399717699
CEP89,-0.365560763701804
CEPT1,-0.447490615901714
CHFR,0.266459678353468
CHN1,0.264647534544123
CIC,0.43053146387955
CIP2A,-0.403481390380248
CIRBP,-0.286261269185901
CLASRP,0.345484118398348
CLCN6,0.446767820079652
CLIP4,0.441420534735273
CLK1,0.571745607901928
CLK4,-0.405223533487919
CNTLN,-0.255119371543981
CNTNAP3B,-0.359229370038925
COX11,-0.252875603568707
CREBRF,0.27958732548351
CRYBG2,0.285165113396506
CTDSPL2,-0.291802139443419
CU633904.2,0.315944313141056
CU634019.2,0.315144922606679
CUL7,0.294690525983395
DBT,-0.260949013895765
DCAF8,-0.387516651527484
DCAKD,-0.312361343741708
DDX19A,-0.288219916398387
DECR2,-0.445152479412044
DELE1,-0.285217155384139
DENND1A,-0.260389142296775
DGLUCY,-0.33346649751771
DHX34,-0.271796979916911
DHX9,0.270557226492737
DMTF1,-0.301478559619207
DNAH14,-0.270619592920406
DNAJC2,-0.287431458209362
DNAJC25,0.280284549583458
DNAJC6,-0.270066908132664
DNAJC8,-0.381331398511659
DPY19L1P2,-0.272619755527741
DPY19L2P1,-0.296743678879752
DUSP12,0.274209198910391
DXO,0.362006384421522
DZIP1L,0.286588353398799
E2F7,-0.297276516152863
EDRF1,0.251291714702332
EEA1,-0.30573546048338
EFL1,-0.316114363808185
EIF4A2,-0.457136891165709
ELMOD3,-0.461125490159195
EMC9,0.38256615714943
EML2,0.273041558427284
EPB41,0.306104148459159
EPB41L5,-0.258642055133906
EPC1,-0.268113118063114
ERCC6L2,-0.315666824959336
ERMARD,0.295357597458209
ETNK1,-0.312054648028091
EVC,-0.387481552068105
EYA3,0.284770575965851
FAM133B,-0.306445736459618
FAM149B1,-0.276244263205725
FAM21EP,0.327100201600768
FANCB,-0.401252766076301
FBXW8,0.259507328598623
FCSK,0.252529801298961
FDXR,0.339390603318166
FGFR3,-0.296303058692235
FHOD3,0.370130045511864
FNBP4,0.252871292028211
FNTB,-0.385088464370428
FRRS1,-0.362284968658318
FRS3,-0.367653934860108
FUBP3,-0.253458783222018
GALK2,-0.300851309319071
GARNL3,0.443068206543445
GLB1L3,0.388919559379393
GLI3,-0.281450714835421
GLS,-0.318467662904434
GNPDA2,-0.359654300280835
GORAB,-0.329229879777705
GPATCH2,0.284555184090968
GPC2,0.501784421094896
GPR89A,0.281227514761759
GPR89B,0.280660627461892
GRB14,-0.337172493135652
GTF2IP12,0.259852395455916
GTF2IP13,0.256987680273585
GUSBP1,0.27834714387859
H2BC5,-0.30499309226113
H4C15,0.30232547081516
HCFC2,-0.303368733632813
HECTD1,-0.269082431656797
HERC2P3,0.255834578917822
HINFP,-0.284898435252354
HLA.E,0.299369791356118
HLF,-0.366537454259151
HNRNPLL,-0.256387529078769
HSD17B7,0.253627675704487
HSD17B7P2,0.400756374352131
HTT,0.250929377474635
IFFO1,-0.403799849560804
IFT52,-0.282578862253054
IL18R1,-0.342052012498439
IMPACT,0.4543697066415
INPP5J,0.277875406432237
INTU,-0.269177009787827
IVNS1ABP,0.28886796916699
JAK2,0.290825018883804
KDM3A,-0.36874723973882
KHDC4,-0.266387336004037
KIAA1109,0.29765627685821
KIF27,-0.392799543985733
KLHL17,0.346222958808842
KLHL42,-0.404151515125283
KPNA5,0.288411927859295
KYAT1,0.304140911116877
L3HYPDH,0.342907527606334
LBHD1,0.253939676504288
LIN7A,-0.273678182573162
LINC01446,-0.332774048037585
LRIG2,-0.338037156413111
