Row.names,dPSI_BIO2195127_CHX_vs_DMSO_CHX.x,dPSI_BIO2197294_CHX_vs_DMSO_CHX.x,dPSI_Branaplam_CHX_vs_DMSO_CHX.x,dPSI_U1_mut1_100_CHX_vs_DMSO_CHX,dPSI_U1_mut1_500_CHX_vs_DMSO_CHX
ABHD10,NA,NA,NA,NA,-0.318624217394213
ABHD13,NA,NA,NA,NA,0.37421559561119
AC009022.1,0.529689783092393,0.48341714717863,0.513280612165223,-0.312535597400663,0.357328373763281
AC010148.1,NA,NA,NA,NA,0.250380455811215
AC020915.3,NA,NA,-0.286095015675335,NA,0.266910317917464
AC093752.1,NA,NA,NA,NA,-0.357646131401663
AC245100.4,NA,NA,NA,NA,0.275609396630779
ACBD5,NA,NA,NA,NA,0.258026414245397
ACLY,NA,0.340270495569038,NA,NA,NA
ADAM17,NA,NA,NA,NA,-0.299601239028638
ADAMTS19,-0.589795308823292,-0.490753266554147,-0.464925653156316,NA,0.277690141946296
ADCY3,NA,NA,NA,NA,-0.316110611705986
AGPS,NA,NA,NA,NA,-0.314159275363034
AIDA,NA,NA,NA,NA,-0.407162521512642
AKAP8L,NA,NA,NA,NA,-0.260178253312392
AKAP9,NA,NA,NA,NA,-0.292109440365035
AL590705.3,NA,NA,NA,NA,0.323196814776967
ANAPC1,NA,NA,NA,NA,-0.288670925330768
ANKHD1,NA,NA,NA,-0.267026001813094,0.257241863431792
ARFGEF2,NA,NA,NA,NA,-0.336701146538895
ARHGAP5,NA,NA,NA,NA,-0.271340579512708
ARID1A,NA,NA,NA,NA,0.35370577628695
ARMC2,NA,NA,NA,NA,0.307482324850218
ASAP1,0.38151722176591,0.300417041371658,0.262763677997595,NA,NA
ASH1L,NA,NA,NA,NA,-0.354095311881152
ATF2,NA,NA,NA,NA,-0.36809692808389
ATG2B,0.258839682445779,NA,NA,NA,NA
ATP5MC2,NA,NA,NA,NA,0.250578146550843
AXIN1,NA,-0.269216075789049,NA,NA,-0.384735773401547
BCLAF1,NA,NA,NA,-0.31580793789599,NA
BIVM,NA,NA,NA,NA,-0.271855639204897
BRWD3,NA,NA,NA,NA,-0.280534215825713
CACNA2D1,0.259995688791626,0.309448566712965,0.419901521969156,NA,-0.262922020103295
CACNB4,-0.287798583560185,NA,-0.272388562869633,NA,NA
CCDC15,NA,NA,NA,NA,-0.26808984040639
CCDC162P,NA,NA,NA,NA,-0.251320335453676
CDC27,NA,NA,NA,NA,-0.278917782944956
CHCHD3,NA,NA,NA,NA,0.264532196444988
CHD9,NA,-0.264496395084843,NA,NA,NA
CHST12,NA,NA,0.268503336235656,NA,NA
CIP2A,-0.534202117163389,-0.456622797912196,-0.486837331905548,NA,NA
CLASP1,NA,NA,NA,NA,0.443403148263715
CLK1,NA,NA,NA,NA,-0.277645236082061
CLK4,NA,NA,NA,-0.312561340625409,-0.452053491178398
CNNM2,NA,NA,NA,NA,0.288293695373945
CNOT1,NA,NA,NA,NA,0.260349339580089
CREBRF,NA,NA,NA,NA,0.355859879754697
CRYBG3,-0.272476739706,NA,NA,NA,NA
CRYL1,NA,-0.255295351158408,NA,NA,NA
CSF1,NA,NA,NA,NA,0.26228810038336
CYTH1,NA,NA,NA,NA,0.510568820991583
DENND4A,NA,NA,NA,NA,-0.258542977364566
DGCR8,NA,NA,NA,NA,-0.423582875214571
DHFR,-0.338219685926374,-0.29904761837031,NA,NA,NA
DIAPH3,-0.365983013602999,NA,-0.409594265278599,NA,-0.267767553481801
DLG5,NA,NA,NA,NA,0.307951994883572
DNAJC27,NA,NA,NA,NA,0.299199056123288
DPH1,NA,NA,NA,NA,-0.283793792019454
DPH6,NA,NA,NA,NA,0.31016915231589
DPY19L1P2,NA,NA,NA,NA,0.513644280550989
DSG2,NA,NA,NA,NA,0.311142180633821
EMSY,NA,-0.262672260875701,-0.261784538111029,NA,-0.431305630163195
ERC1,NA,NA,NA,NA,0.309860880556971
EVC,-0.341150919945711,-0.253913337118234,NA,NA,-0.257278452158754
EXOC6B,0.267301763983138,NA,-0.254143498583273,NA,NA
FAAP20,-0.35062481113513,-0.295284433297592,-0.349506255023554,NA,-0.252221685277352
FAM168B,NA,NA,NA,NA,-0.321347518233127
FAM214A,NA,0.257303218592469,NA,NA,NA
FAM222B,NA,NA,NA,NA,0.670163598284224
FCHO2,NA,NA,NA,NA,-0.342508933245058
FHOD3,0.463413800172999,0.433337320896267,0.43568742673259,NA,NA
FOXM1,NA,NA,NA,NA,-0.455199545535811
FRS2,NA,NA,NA,NA,-0.3287754906113
GARNL3,0.427310884429636,NA,-0.302540842634566,NA,NA
GCC2,NA,NA,NA,NA,-0.264184849301532
GFPT1,NA,NA,NA,NA,-0.366903933122155
GNS,NA,NA,NA,NA,-0.290146756827745
GRAMD1A,NA,NA,NA,NA,-0.297173387261499
GRAMD1B,NA,NA,NA,NA,-0.28205716070821
GXYLT1,-0.267943785754838,NA,NA,NA,-0.404104140683947
HACE1,NA,NA,NA,NA,-0.276543710261071
HECTD1,NA,NA,NA,NA,0.2591757328596
HS3ST3A1,NA,NA,NA,NA,0.398422720160163
HTT,0.386731613237575,0.379650327146296,NA,NA,-0.308457736477565
IGF2BP3,NA,NA,0.265938883189198,NA,0.297296442224736
IL17RC,NA,NA,NA,NA,0.250486257281768
INPP5K,NA,NA,NA,NA,-0.280147703194979
KCNT2,-0.276424481090955,-0.272429938045195,-0.267173380072879,NA,NA
KDM6A,-0.274305224180323,NA,NA,NA,NA
KIAA0232,NA,NA,NA,NA,-0.312326754106485
KIAA1109,NA,NA,NA,NA,-0.256866343485204
KITLG,NA,NA,NA,NA,0.264479862641872
LARP7,NA,-0.36198043404526,NA,NA,NA
LGALS9,NA,NA,NA,NA,0.257634768281742
LINC00467,NA,NA,NA,NA,-0.297866883383412
LINC00857,NA,NA,NA,NA,0.37389598591553
LINC01515,-0.412429042050188,NA,NA,NA,NA
LNPK,-0.307602147718119,NA,-0.282856108401309,NA,NA
LRRC1,NA,NA,NA,NA,-0.316971706124264
LRRC27,NA,NA,NA,NA,0.288803638413566
MADD,NA,NA,NA,NA,0.277726011929162
MAGI1,NA,NA,NA,NA,0.299334086778618
MAN1A2,-0.259377210259357,NA,-0.306644811019053,NA,-0.30849721697412
MAP3K15,NA,NA,NA,NA,0.322819229733578
MAP3K3,NA,NA,NA,NA,-0.372428405696153
MARCHF8,NA,NA,NA,NA,0.311986311393342
MBTPS1,NA,NA,NA,NA,-0.322741595453427
MECP2,NA,NA,NA,NA,0.39978539052314
MELTF,0.25110553538461,NA,0.305455968739949,NA,NA
METTL16,NA,NA,NA,NA,0.469013725375176
MLLT10,0.291684987219752,-0.43618777631226,0.272293816744564,NA,-0.340970875664142
MON2,NA,NA,NA,NA,-0.255013216227025
MPC1,NA,NA,NA,NA,-0.283167059519235
MRPL39,NA,NA,NA,-0.296621192578636,0.285229916096795
MYB,NA,NA,NA,NA,-0.266756502713689
MYCBP2,NA,NA,NA,NA,-0.304441329880878
N4BP1,NA,NA,NA,NA,0.320146018421925
NIPA1,NA,NA,NA,NA,-0.331448483180013
NPLOC4,NA,NA,NA,NA,-0.273618573305365
NR4A1,NA,NA,NA,NA,0.321804350808065
NSRP1,NA,NA,NA,NA,-0.455705829010105
NUDT1,NA,NA,NA,NA,0.255983193791464
NUP58,-0.297867375033432,NA,NA,-0.297995079847617,-0.577554858777335
OCLN,-0.281270373560939,NA,NA,NA,NA
PAIP2B,NA,NA,NA,NA,0.281439823265387
PALLD,NA,NA,NA,NA,0.374258425600381
PAXBP1,NA,NA,NA,NA,-0.260529273811691
PBX3,NA,NA,NA,NA,-0.311851823960346
PCDH10,NA,NA,NA,NA,0.303960770517217
PCLO,NA,NA,NA,NA,0.330322277684782
PDE10A,NA,NA,NA,NA,0.251193890607113
PDE7A,0.294949867182546,0.32216288754928,0.272090137468719,NA,-0.364469792709007
PDS5B,NA,NA,NA,NA,-0.277921385743627
PDXDC1,0.340931849576149,0.28805659408038,0.337560070641781,NA,-0.309876664398322
PEA15,NA,NA,NA,NA,0.259026851996411
PIGN,NA,NA,NA,NA,-0.395584260655347
PITPNB,0.326831770765588,0.335305658837629,0.284973460761944,NA,-0.26489400740492
PNISR,0.357169575019649,NA,0.268137348101926,NA,NA
POMT2,0.34879790373514,0.349424593400112,0.371708403301138,NA,-0.321976452968959
PSMA1,0.429734340023241,0.417168905507752,0.413843421785499,NA,NA
