Row.names,dPSI_BIO2195127_EtOH_vs_DMSO_EtOH.x,dPSI_BIO2197294_EtOH_vs_DMSO_EtOH.x,dPSI_Branaplam_EtOH_vs_DMSO_EtOH.x,dPSI_U1_mut1_100_EtOH_vs_DMSO_EtOH,dPSI_U1_mut1_500_EtOH_vs_DMSO_EtOH
ABCB8,NA,-0.328602791731081,NA,NA,NA
ABHD10,NA,NA,NA,NA,-0.322151745250221
ABHD13,NA,NA,NA,NA,0.343693381608152
AC009022.1,-0.33719216183196,NA,-0.350195710632945,NA,NA
AC020915.3,NA,NA,NA,NA,0.258304360586849
AC093752.1,NA,NA,NA,NA,-0.44101583609798
AC127502.1,NA,NA,NA,NA,0.432922222182806
AC138393.1,NA,NA,NA,NA,0.423216925283037
AC138894.1,NA,NA,NA,NA,-0.346105362371811
ACVR1B,NA,NA,NA,NA,-0.325337960628501
ADCY3,NA,NA,NA,NA,-0.29522967506448
AGAP1,NA,NA,NA,NA,0.279300427824025
AL512353.1,NA,NA,NA,NA,0.337964235030496
ALAD,NA,NA,0.265277880087528,NA,NA
AP002495.1,NA,NA,NA,NA,0.302130652344483
ARHGAP5,NA,NA,NA,NA,-0.269364257995105
ARID1A,NA,NA,NA,NA,0.255043383972026
ASAP1,0.338024616829018,0.259870577028628,-0.451629706913853,NA,NA
AXIN1,NA,NA,NA,NA,-0.358042255613061
C1QTNF6,NA,0.271875419677202,NA,NA,0.265134768186278
CACNA2D1,0.305120351534044,0.415626455505594,0.535344812131189,NA,0.261422311682086
CCDC150,NA,NA,NA,NA,-0.256915480870968
CDC37L1,NA,NA,NA,NA,0.280860804306102
CEP41,NA,NA,NA,NA,0.266491479986255
CEP57,NA,NA,NA,NA,-0.276182391475017
CEP63,NA,NA,NA,NA,-0.277305643683269
CKMT1B,NA,NA,0.418564959841658,NA,NA
CLASP2,NA,NA,NA,NA,0.397830977490019
CREBRF,NA,NA,NA,NA,0.361330470472853
CSF1,NA,NA,NA,NA,0.28233335787809
CUL7,NA,NA,NA,NA,-0.250687982361432
DENND4A,NA,NA,NA,NA,-0.333512088120461
DPH1,NA,NA,NA,NA,-0.300835548790167
DSG2,NA,NA,NA,NA,0.263165907290128
DYRK3,NA,NA,NA,NA,-0.338108965335038
EMSY,NA,NA,NA,NA,-0.332316766769412
EP300,NA,NA,NA,NA,-0.272814182531082
ERGIC3,NA,NA,NA,NA,-0.267866915216752
EVC,-0.284522576668226,NA,NA,NA,NA
EXOC6B,0.272947356915959,NA,NA,NA,NA
FAAP20,-0.332104879454479,-0.279655630182216,-0.348008782379183,NA,NA
FAIM,NA,NA,NA,NA,-0.259706320402269
FAM122C,NA,NA,NA,NA,0.291181296853789
FAM168B,NA,NA,NA,NA,0.250757651364063
FAM71E1,NA,NA,NA,NA,0.312065331810916
FCHO2,NA,NA,NA,NA,-0.257442334088267
FOXM1,NA,NA,NA,NA,0.257232747533571
FRG1HP,NA,NA,NA,NA,0.269915514262378
FRS2,NA,NA,NA,NA,-0.30676169069183
FSD1L,NA,NA,NA,NA,-0.319211723253135
GFPT1,NA,NA,NA,NA,-0.321869634611964
GJC1,NA,NA,NA,NA,0.386037457594727
GLMP,NA,NA,NA,NA,-0.379143897541482
GNGT1,NA,NA,NA,NA,0.262589278957701
GXYLT1,-0.374353072531891,NA,NA,-0.26223328595166,0.287938296146365
HDX,NA,NA,NA,NA,0.26899499837571
HECTD1,NA,NA,NA,NA,0.259672557822915
HMGXB4,NA,NA,NA,NA,-0.379326917878105
HOXB3,NA,NA,NA,NA,-0.300444430358315
HSD17B14,NA,NA,NA,NA,0.323962509035724
HTT,NA,-0.265599045588256,-0.268431644904463,NA,NA
IGDCC4,NA,NA,NA,NA,0.269323705105738
IMPACT,NA,NA,NA,NA,0.36612236479106
INO80,NA,NA,NA,NA,-0.259264449004618
KDM6A,-0.481806814185733,-0.474021644328608,-0.433163416206078,NA,0.271944611779802
KIAA0556,NA,NA,NA,NA,0.320972643242488
KITLG,NA,NA,NA,NA,-0.286442170868942
KLHL28,NA,NA,NA,NA,0.287501750878665
LARP7,NA,NA,-0.39175487441981,NA,-0.469793442559359
LINC00467,NA,NA,NA,NA,-0.379124129865615
LINC00857,NA,NA,NA,NA,0.27816012126306
LINC02210,-0.453724993836557,NA,NA,NA,NA
LRRC37A2,NA,NA,NA,NA,0.259176337083985
LRRC37A3,NA,NA,NA,NA,0.353319576992875
MADD,-0.323459470374828,-0.320283114267414,-0.309434951767391,-0.250174145631213,0.281938960783689
MAGI1,NA,NA,NA,NA,0.325051805117568
MARCHF8,NA,NA,NA,NA,0.258586913754832
MECP2,NA,NA,NA,NA,0.639269897206166
MLC1,NA,NA,NA,-0.287984122181511,NA
MRPL39,NA,NA,NA,-0.26677520127066,0.280383118714268
MTA1,NA,NA,NA,NA,0.285941458340161
MYCBP2,NA,NA,NA,NA,-0.252993806450658
MZF1,NA,NA,NA,NA,0.281465666489324
N4BP1,NA,NA,NA,NA,0.29711592915564
NIPA1,NA,NA,NA,NA,-0.393854793205618
NPL,NA,NA,NA,NA,-0.380381737011889
NSRP1,NA,NA,NA,NA,0.264536065555834
NUP58,-0.294869412754759,NA,NA,-0.286094316521776,-0.616625132071506
PAIP2B,NA,NA,NA,NA,0.313873651614932
PALLD,NA,NA,NA,NA,-0.411463111234233
PAXBP1,NA,NA,NA,NA,-0.298935418871207
PDE7A,0.36454983897485,0.336780326035402,0.288770078713226,NA,0.306921782067988
PEA15,NA,NA,NA,NA,0.290676961877302
PELI1,NA,NA,NA,NA,-0.294375511871271
PHB2,NA,NA,NA,0.338949679857759,NA
PHTF2,NA,NA,NA,NA,-0.255032626171589
PLA2G6,NA,NA,NA,NA,0.267451854151984
PNISR,0.4026575124618,NA,0.281353268135352,0.253365281671068,0.457987873363049
POMT2,0.342889334724486,0.333447390408404,0.332625490509013,NA,-0.361689762299984
PRPF39,NA,NA,NA,NA,-0.258217457985789
PSMA1,NA,NA,NA,NA,0.424038837351751
PTP4A2,NA,NA,NA,0.4001440283183,NA
PYCR1,NA,-0.260992838899112,-0.256074487836614,NA,NA
RAF1,-0.255574068934964,NA,NA,NA,-0.253693075708924
RICTOR,NA,NA,NA,NA,0.424851530754661
RNF32,0.499997085444979,NA,NA,0.383279731137537,0.564528722077831
RPL23AP82,NA,NA,NA,NA,-0.336368583323796
SENP6,-0.250447983982558,NA,NA,NA,NA
SEPTIN7P2,NA,NA,NA,NA,0.454443993149546
SETD5,NA,NA,NA,NA,-0.259050368984784
SETDB2,NA,-0.264416515615352,NA,NA,-0.252109621416695
SF3B3,NA,NA,NA,NA,-0.305575938220434
