X	dPSI_iPSC_2197294_3x	dPSI_NGN2_2197294_3x	dPSI_Sy5Y_2197294_3x	overal_dPSI	coordinate_CE_hg38	Splicing_outcome	Tier	Involve.multipe.exons.	NGN2_3x_DMSO.log2FC	P.value	Sy5Y	iPSC	UniqueID	iPSC_PTC518_10x_logFC	iPSC_PTC518_10x_P.Value	iPSC_PTC518_10x_Adj.P.Value	NGN2_PTC518_10x_logFC	NGN2_PTC518_10x_P.Value	NGN2_PTC518_10x_Adj.P.Value	Sy5Y_PTC518_10x_logFC	Sy5Y_PTC518_10x_P.Value	Sy5Y_PTC518_10x_Adj.P.Value	TPM_iPSC_2197294_10x_1	TPM_iPSC_2197294_10x_2	TPM_iPSC_2197294_10x_3	TPM_iPSC_2197294_10x_4	TPM_iPSC_DMSO_1	TPM_iPSC_DMSO_2	TPM_iPSC_DMSO_3	TPM_iPSC_DMSO_4	TPM_NGN2_2197294_10x_1	TPM_NGN2_2197294_10x_2	TPM_NGN2_2197294_10x_3	TPM_NGN2_2197294_10x_4	TPM_NGN2_DMSO_1	TPM_NGN2_DMSO_2	TPM_NGN2_DMSO_3	TPM_NGN2_DMSO_4	TPM_Sy5Y_2197294_10x_1	TPM_Sy5Y_2197294_10x_2	TPM_Sy5Y_2197294_10x_3	TPM_Sy5Y_2197294_10x_4	TPM_Sy5Y_DMSO_1	TPM_Sy5Y_DMSO_2	TPM_Sy5Y_DMSO_3	TPM_Sy5Y_DMSO_4
XRN2	NA	NA	NA	NA	chr20:21,345,834-21,345,887	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000088930.8	-1.45742460426249	6.82356766695638e-09	8.56617687637957e-06	-4.76467661998403	1.34500046063585e-85	3.79370829926948e-81	-1.63654497188711	1.15220810249171e-09	1.17253305341967e-06	71.11	58.21	57.06	27.17	151.47	163.36	158.48	164.04	2.69	2.38	2.66	2.82	74	74.39	71.23	70.8	59.07	44.24	40.52	26.36	130.25	125.05	113.65	136.2
FBL	NA	NA	NA	NA	chr19:39,836,894-39,836,973	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000105202.9	-0.00783853836765202	0.280244551550804	1	-1.53455298442953	6.92650469571712e-34	1.39549279605284e-30	-0.339098850967334	0.0578583984677767	1	529.69	464.6	558.81	435.26	630.25	616.43	643.28	637.75	17.56	17.05	17.35	17.3	51.9	52.44	49.27	55.76	262.35	268.39	292.81	230.23	331.22	354.73	377.42	366.67
CIP2A	NA	NA	NA	NA	chr3:108565898-108565931	Downregulation in RNA level, Nonsense-mediated decay, multiple exons	1		NA	NA	NA	NA	ENSG00000163507.14	-0.959352091876638	1.02531279729192e-05	0.00772294893571622	-2.21760767804513	1.7160398825258e-19	1.42360649783891e-16	-1.02483456579436	9.21874664204841e-06	0.00558414603143699	25.84	25.08	17.54	11.38	42.4	45.55	41.35	42.79	0.51	2.91	0.33	0.41	1.96	3.34	1.9	1.92	32.05	21.97	19.34	19.21	44.5	42.85	42.57	45.94
FHOD3	NA	NA	NA	NA	chr18:36,742,377-36,742,468	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000134775.15	-2.20883768122028	5.18788716328975e-13	1.51964743650897e-09	-2.90977789499615	3.56321504286975e-22	3.58943012497086e-19	-0.0123204741974687	4.23936351150916e-10	4.90243850437748e-07	2.61	1.65	1.08	1.59	7.73	8.5	8.53	9.29	4.33	3.7	4.49	5.37	35.47	33.08	35.8	33.52	16.65	8.66	6.24	8.62	39.92	33.53	27.33	34.47
PITPNB	NA	NA	NA	NA	chr22:27,894,376-27,894,422	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000180957.18	-1.54929812017185	1.75296984089726e-10	3.30096742254103e-07	-4.44537368795819	1.35856664448448e-80	1.91598653871647e-76	-2.14215803546121	7.42458912840356e-17	3.7777794403143e-13	31.24	24.72	25.77	10.37	67.3	72.95	70.3	76.41	4.53	3.31	4.22	4.31	91.37	90.38	85.12	88.07	35.33	26.67	24.93	16.58	104.96	113.46	92.95	110.08
PDXDC1	NA	NA	NA	NA	chr16:15,009,499-15,009,561	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000179889.19	-1.64484231431117	1.69807218900538e-09	2.3561198483552e-06	-4.06339873764331	4.89127944067513e-52	2.29939046506138e-48	-2.08614935820826	1.08733168832978e-12	2.51480049843618e-09	37.41	27.53	28.74	11.28	88.88	92.61	90.11	89.27	3.3	3.16	4.07	4.59	54.48	54.02	55.35	59.25	17.48	10.8	8.36	6.54	42.99	36.02	32.6	38.56
HLTF	NA	NA	NA	NA	chr3:149,052,045-149,052,144	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000071794.16	-0.859090058322668	4.25602705734025e-07	0.000431544774279466	-2.36453090637221	9.86456060114861e-55	5.56479592631996e-51	-0.900069642170073	5.41857526516945e-07	0.000430793666628675	15.52	12.69	13.17	10.49	23.61	23.83	25.84	27.86	7.54	8.46	8.28	8.08	36.71	38.96	38.43	36.64	41.59	32.14	27.24	27.59	58.44	56.19	48.91	60.92
RAD21	NA	NA	NA	NA	chr8:116,861,154-116,861,297	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000164754.15	-0.00312179754984587	1	1	-1.1369939481921	4.52995429856346e-56	4.25906303150937e-52	-0.239703851746152	0.252728897088869	1	170.35	175.74	155.32	175.1	164.16	188.25	175.35	188.08	70.74	64.14	65.66	66.35	144.23	147.12	145.44	141.93	223.73	221.45	204.33	211.74	250.5	266.84	259.95	261.04
ASNS	NA	NA	NA	NA	chr7:97,855,011-97,855,146	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000070669.17	0.00238107679715459	1	1	-1.72315801007723	9.92877660531689e-46	3.5006384116196e-42	-0.00856473735865799	1	1	163.47	130.67	133.71	147.78	143.03	126.15	128.97	139.46	100.5	84.66	96.38	91.9	304.33	289.96	288.74	316.17	98.86	87.27	93.39	83.33	90.99	98.48	103.31	111.01
GNAQ	NA	NA	NA	NA	chr9:77,920,662-77,920,702	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000156052.11	-0.00607048770145947	0.00308227687653191	0.948231983847217	-2.40105738261233	3.49092801116398e-36	8.20542629024093e-33	-1.49592435693312	2.31672388471181e-12	4.53382864238101e-09	20.88	20.37	20.88	11.83	29.51	33.29	34.43	31.44	29.1	22.67	27.99	24.98	141.78	144.94	144.13	138.19	23.78	19.32	17.58	9.98	46.24	50.43	47.97	45.97
KDSR	NA	NA	NA	NA	chr18:63,340,936-63,341,080	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000119537.18	-0.632727107865734	0.000174465754375805	0.0978604400555179	-1.70184465867479	5.32137236507562e-31	8.3385904960735e-28	-1.03224365444363	5.8345844065477e-10	6.37796424529397e-07	22.26	20.21	17.38	13.15	28.54	32.95	28.85	30.27	7.03	6.19	7.31	6.86	22.51	22.89	22.96	23.35	16.29	12.97	12.39	11.52	28.58	24.67	25.45	29.15
BTBD10	NA	NA	NA	NA	chr11:13,419,277-13,419,343	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000148925.10	-0.375774900682147	0.00904594349826163	1	-1.10138925214799	1.52558594521246e-31	2.53121630415663e-28	-0.48288099032213	0.000282628828458677	0.105740588600253	17.54	17.33	16.01	12.05	21.78	23.37	19.55	22.06	52.79	46.18	53.95	47.6	105.04	105.91	106.95	109.7	21.37	20.05	19.57	15	26.53	27.97	24.49	25.86
DLG5	NA	NA	NA	NA	chr10:77,812,713-77,812,773	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000151208.17	-0.588255465685288	5.40141264155739e-06	0.00444992004591805	-1.24684824651494	8.13298176314029e-31	1.20736254532176e-27	-0.384561015386202	0.0175464518254967	1	43.42	41.62	31.46	25	52.7	57.94	54.45	56.98	24.93	18.2	26.88	25.63	58.59	56.51	59.98	54.5	42.34	38.48	32.02	29.47	44.93	47.45	42	49.51
HTR3A	NA	NA	NA	NA	chr11:113,987,587-113,987,715	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000166736.11	-1.06800167482402	8.89904108748743e-10	1.38003188346724e-06	-1.75086238399782	1.57003932846773e-28	2.21422646493804e-25	-1.09414876263881	0.00599750334546491	1	3.6	3.46	3.25	2.25	7.18	7.67	6.62	6.2	15.32	14.95	14.51	13.97	48.09	54.22	49.47	47.83	0.1	0.07	0.05	0.05	0.12	0.17	0.17	0.12
L3MBTL2	NA	NA	NA	NA	chr22:41217516-41217844	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000100395.15	-0.00757878204860934	0.000747860501535337	0.303402087022624	-1.89673203779767	3.70222314225034e-25	4.54021330218752e-22	-1.03511094197039	6.25051981789129e-07	0.000467704337314625	23.19	19.8	18.31	12.11	32.14	32.68	31.76	31.27	6.29	5.36	6.55	6.73	24.55	24.1	23.98	23.15	8.21	6.82	6.07	4.5	13.2	12.67	12.67	13
SLC7A6	NA	NA	NA	NA	chr16:68,287,330-68,287,442	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000103064.15	-0.74408340555126	1.36390587833627e-09	1.99759170392107e-06	-1.15485730468694	1.82104451599338e-25	2.33474461900497e-22	-0.81218482660471	2.00520418783554e-10	2.5507199871362e-07	9.14	8.39	6.61	6.46	13.38	11.99	12.79	12.47	10.91	10.07	11.75	11.18	26.59	24.22	24.97	23.96	16.58	13.61	11.29	13.41	24.66	21.89	19.08	25.18
VPS41	NA	NA	NA	NA	chr7:38,799,045-38,799,140	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000006715.16	-0.136747755174872	1	1	-0.66048713367873	7.51379055878174e-21	6.62293676565618e-18	-0.163650320919275	1	1	30.56	30.52	33.02	31.46	33.67	34.23	37.37	38.42	52.46	50.29	53.98	55.59	90.27	82.28	85.82	86.11	63.73	55.78	56.08	60.54	68.86	66.52	63.27	69.13
ELP4	NA	NA	NA	NA	chr11:31,628,239-31,628,387	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000109911.19	-0.00752120243917409	0.0104490904829915	1	-1.30571150785693	5.31418782081073e-15	3.57276167933457e-12	-0.014944173535732	0.0434580069109333	1	13.24	9.89	12.94	8.73	18.82	16.61	19.59	18.14	4.98	3.5	4.84	4.15	10.46	11.59	12.01	11.28	13.13	12.33	12.07	9.42	15.7	18.25	15.86	15.91
AGPS	NA	NA	NA	NA	chr2:177,432,986-177,433,124	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000018510.16	-0.235439322676925	0.239486530796777	1	-0.922081930038257	5.62327682308486e-15	3.68860804818446e-12	-0.478826373300334	0.00163712702659464	0.462779429817714	47.87	50.87	49.83	39.22	57.69	64.91	62.2	65.93	33.4	29.73	32.39	30.13	58	59.8	57.25	55.39	38.84	38.85	38.52	28.2	51.85	52.63	54.6	53.9
KCNT2	NA	NA	NA	NA	chr1:196,317,148-196,317,269	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000162687.18	-0.00198894708895969	0.0616863866785236	1	-2.63962919567852	1.25536734517277e-15	9.07920290716492e-13	-2.17195430527337	6.01671089528931e-10	6.37796424529397e-07	1.73	1.69	0.78	1.54	2.72	2.9	2.45	3.15	1.11	0.69	1.11	1.11	5.36	5.52	5.65	5.49	2.99	1.21	0.77	2.8	8.81	8.29	7.01	9.07
MLLT10	NA	NA	NA	NA	chr10:21,728,632-21,728,675	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000078403.17	-0.00388852455648979	0.113155408101501	1	-1.3905240836907	6.25966368754083e-12	3.15285846376387e-09	-0.00804727129338669	0.160830978799036	1	31.88	30.4	24.66	23.22	36.87	36.49	31.42	38.39	8.64	7.79	8.55	9.32	17.45	19.14	17.73	17.56	40.62	34.85	29.62	36.48	44.36	41.35	34.04	45.76
RDX	NA	NA	NA	NA	chr11:110,263,332-110,263,435	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000137710.17	-0.623241303173079	0.00030148443288492	0.147185816743428	-1.19256818350691	1.87672800306039e-14	1.15076065335481e-11	-0.664713764269	0.000248088111740059	0.0986189007934193	58.28	50.56	51.98	43.8	82.03	80.6	84.52	99.36	31.93	30.18	31.75	32.05	71.48	72.53	70.26	71.38	46.87	43.49	37.96	30.31	63.74	65.79	62.28	70.07
ADAMTS19	NA	NA	NA	NA	chr5:129,688,095-129,688,214	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000145808.10	-0.00397459561436833	2.23603583985019e-07	0.000235794451383882	-2.56473715055524	4.99222479038212e-11	2.30837200717243e-08	-0.00838932159046009	3.000352600914e-07	0.000246232162967268	7.33	5.39	4.34	3.57	21.09	16.74	21.87	21.01	0.19	0.18	0.23	0.27	0.63	1.11	1.14	0.7	7.24	4.14	2.33	4.05	13.32	11.27	8.33	10.67
TENT2	NA	NA	NA	NA	chr5:79641455-79641517	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	ENSG00000164329.13	-1.32089639033955	3.80554753373807e-10	6.68837664212911e-07	-1.41572509785505	3.48327052161783e-11	1.63748547221254e-08	-1.46223927908518	8.73210858956079e-11	1.23418652570564e-07	10.23	9.4	6.45	7.16	18.97	20.86	18.35	19.99	3.39	2.92	4.27	4.13	8.03	6.97	9.01	8.78	12.21	7.03	4.76	10.04	20.89	18.2	13.81	19.04
CRY1L	NA	NA	NA	NA	chr13:20,405,904-20,406,128	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RARS	NA	NA	NA	NA	chr5:168,518,469-168,518,523	Downregulation in RNA level, Nonsense-mediated decay	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
