"X"	"overal_dPSI"	"dPSI_iPSC_2197294_3x"	"dPSI_NGN2_2197294_3x"	"dPSI_Sy5Y_2197294_3x"	"UniqueID"	"coordinate_CE_hg38"	"Splicing_outcome"	"Tier"	"Involve.multipe.exons."	"Sy5Y"	"iPSC_PTC518_3x_logFC"	"iPSC_PTC518_3x_Adj.P.Value"	"iPSC_3vs3_log2FC"	"iPSC_3vs3_padj"	"NGN2_PTC518_3x_logFC"	"NGN2_PTC518_3x_Adj.P.Value"	"NGN2_3vs3_log2FC"	"NGN2_3vs3_padj"	"Sy5Y_PTC518_3x_logFC"	"Sy5Y_PTC518_3x_Adj.P.Value"	"Sy5Y_3vs3_log2FC"	"Sy5Y_3vs3_padj"	"iPSC_2197294_3x_2"	"iPSC_2197294_3x_3"	"iPSC_2197294_3x_4"	"iPSC_DMSO_2"	"iPSC_DMSO_3"	"iPSC_DMSO_4"	"NGN2_2197294_3x_1"	"NGN2_2197294_3x_2"	"NGN2_2197294_3x_3"	"NGN2_DMSO_1"	"NGN2_DMSO_2"	"NGN2_DMSO_3"	"Sy5Y_2197294_3x_2"	"Sy5Y_2197294_3x_3"	"Sy5Y_2197294_3x_4"	"Sy5Y_DMSO_2"	"Sy5Y_DMSO_3"	"Sy5Y_DMSO_4"
"ARL15"	0.477588638	-0.499	-0.454	0.479765914	"ENSG00000185305.11"	"chr5:54307888-54,307,946"	""	NA	"Y"	NA	-1.42412997000893e-05	1	"-0.178789731422036"	"0.964681360388505"	-7.45116646630921e-06	1	"-0.160453053702067"	"1"	-8.98882825840993e-06	1	"-0.125521094546074"	"1"	1122	1233	1169	1378	1380	1503	2642	2493	2385	3124	2709	2266	1233	1057	1202	1644	1396	1337
"HDX"	0.459333333	-0.405	-0.411	-0.562	"ENSG00000165259.14"	"chrX:84501429-84501511"	"No change in RNA level, splicing change occurs in 5'UTR"	4	"Y"	NA	2.02329887342577e-05	1	"0.338081130412486"	"0.0453000765773054"	1.5795271285744e-05	1	"0.183770774398804"	"0.967900306416688"	8.52275266586218e-06	1	"0.124777228670764"	"1"	1066	1093	1379	999	957	1015	2034	2091	2248	2004	1762	1615	1706	1693	1908	1889	1944	1773
"LARP7"	0.450666667	-0.339	-0.381	-0.632	"ENSG00000174720.16"	"chr4:112637644-112637787"	"No change in RNA level, splicing change occurs in 5'UTR"	4	"N"	NA	-2.85592567139708e-06	1	"-0.072715290709797"	"0.975094430104837"	6.13250640888755e-06	1	"0.142615204643975"	"1"	1.5932630812357e-06	1	"0.0204346737126844"	"1"	1870	1238	2134	2064	1648	2082	1620	1810	1695	1642	1490	1320	4888	2684	4764	4754	3514	5593
"LRRC42"	0.417666667	-0.338	-0.493	-0.422	"ENSG00000116212.15"	"chr1:53947862-53947981"	"No change in RNA level, splicing change occurs in 5'UTR"	4	"N"	NA	4.35458052244858e-06	1	"0.0625063080214008"	"0.964681360388505"	3.82617883624942e-06	1	"0.109269827123471"	"1"	5.17740850037674e-06	1	"0.0668433328963099"	"1"	4189	4130	5112	4391	4561	4686	1465	1570	1629	1474	1287	1369	2533	2665	2787	2722	3011	3061
"LIMCH1"	0.386666667	NA	-0.758	-0.402	"ENSG00000064042.18"	"chr4:41638932-41638967"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	3.46892384229787e-07	1	"-0.0107599231758644"	"1"	-3.72611943374585e-07	1	"-0.0533937385760248"	"1"	-2.65652966439677e-06	1	"-0.167620412946444"	"1"	710	222	412	733	302	388	4453	4919	4037	4742	4491	4089	35304	26023	35795	44689	38027	42230
"PDE7A"	0.383333333	-0.337	-0.455	-0.358	"ENSG00000205268.11"	"chr8:65,780,844-65,780,947"	"Downregulation in RNA level, Nonsense-mediated decay"	1	"N"	NA	-1.27452966011974e-05	1	"-0.0672426488790192"	"0.964681360388505"	-4.26324019107719e-06	1	"-0.0428906780391982"	"1"	1.26160112874809e-05	1	"0.0553564612433462"	"1"	7129	6583	7444	7765	7617	8161	2584	2604	2968	2930	2574	2537	6685	5795	6659	7288	6962	6921
"POMT2"	0.383	-0.308	-0.446	-0.395	"ENSG00000009830.11"	"chr14:77,287,233-77,287,271"	"Downregulation in RNA level, Nonsense-mediated decay"	1	"N"	NA	-1.80080011151732e-06	1	"0.0107029021648605"	"0.997520439976427"	-1.86911289219102e-05	1	"-0.101434912025547"	"1"	-4.82905453298686e-06	1	"-0.0083308300710767"	"1"	2322	2009	2247	2338	2348	2243	2071	2245	2344	2460	2151	2219	3087	2904	2735	3283	3544	3285
"STRN3"	0.375666667	-0.349	-0.362	-0.416	"ENSG00000196792.12"	"chr14:30929201-30929311"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"Y"	NA	7.2610891438411e-06	1	"0.0759764263643978"	"0.964681360388505"	2.80239296721005e-05	1	"0.314929060512805"	"0.085207344852047"	1.51480809302836e-05	1	"0.191323421492685"	"1"	4976	3730	5154	5077	4078	4750	3597	3752	3951	3194	2796	2709	3798	3234	4087	4161	3693	3328
"ASAP1"	0.351714621	0.419143864	NA	-0.636	"ENSG00000153317.15"	"chr8:130160785-130160793"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	2	"N"	NA	-1.11874621829469e-05	1	"-0.240280315138573"	"0.0295669755135667"	-1.31121937747139e-05	1	"-0.330829177243408"	"0.00000589028018278309"	-1.79311799163227e-05	1	"-0.338176058539716"	"0.00000775263088871477"	6425	5165	6357	7168	7416	7834	9976	9901	11246	14157	11894	11495	15850	14021	14555	22099	21224	21283
"TAF2"	0.34196326	0.307889781	-0.341	-0.377	"ENSG00000064313.12"	"chr8:119744881-119745036"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	1.75961921644131e-06	1	"-0.0149638912031584"	"0.979272479256349"	5.35711022674073e-06	1	"0.0272988519439838"	"1"	2.07338357555743e-06	1	"0.0259872145322834"	"1"	4895	4112	5065	5154	4886	5026	6075	6265	6422	6593	5835	5239	5648	4724	4962	6006	5622	5682
