,U1-mut1-100-CHX_vs_DMSO,U1-mut1-100-CHX_vs_DMSO-CHX,U1-mut1-100-CHX_vs_mut1-100,U1-mut1-100-EtOH_vs_DMSO,U1-mut1-100-CHX_vs_WT_EtOH,U1-mut1-100-CHX_vs_WT_CHX,U1-mut1-100-EtOH_vs_WT_EtOH,U1-mut1-500-CHX_vs_DMSO,U1-mut1-500-CHX_vs_DMSO-CHX,U1-mut1-500-CHX_vs_mut1-500,U1-mut1-500-EtOH_vs_DMSO,U1-mut1-500-CHX_vs_WT_EtOH,U1-mut1-500-CHX_vs_WT_CHX,U1-mut1-500-EtOH_vs_WT_EtOH
WASH7P,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL627309.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL627309.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0
WASH9P,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AP006222.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL732372.2,1,0,1,0,1,0,0,0,0,0,0,1,0,0
AL732372.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MTND2P28,1,0,1,0,0,0,0,0,0,1,0,0,0,0
MTCO1P12,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MTATP6P1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL669831.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL645608.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LINC02593,0,0,0,0,0,0,0,1,0,1,0,1,0,0
SAMD11,1,0,1,0,1,0,0,1,0,1,0,1,0,0
KLHL17,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL645608.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ISG15,1,0,0,0,1,0,0,1,0,1,0,0,0,0
AGRN,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ACAP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CCNL2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
VWA1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ATAD3B,1,0,0,0,0,0,0,1,0,0,1,0,0,0
FNDC10,0,0,1,0,1,0,0,1,0,1,0,1,0,0
FO704657.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SLC35E2B,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CDK11A,1,0,1,0,1,0,0,1,0,1,1,1,0,0
TMEM52,0,0,1,0,1,0,0,0,0,0,0,0,0,0
GABRD,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRKCZ.AS1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
SKI,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PANK4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HES5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NPHP4,1,0,1,0,1,0,0,0,0,1,0,1,0,0
CHD5,1,0,0,0,0,0,0,1,0,0,0,0,0,0
RNF207,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GPR153,1,0,1,0,1,0,0,1,0,0,0,0,0,0
TNFRSF25,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PLEKHG5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB48,1,0,1,0,1,0,0,1,0,1,0,1,0,0
THAP3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PER3,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TNFRSF9,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AL034417.5,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ENO1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
H6PD,1,0,0,0,0,0,0,1,0,0,0,1,0,0
SPSB1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PIK3CD,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NMNAT1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
RBP7,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UBE4B,1,0,1,0,1,0,0,1,0,0,0,1,0,0
CASZ1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AL109811.3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL109811.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DISP3,1,0,1,0,1,0,0,0,0,1,0,0,0,0
C1orf167,1,0,0,0,0,0,0,1,0,0,0,0,0,0
MTHFR,1,0,1,0,1,0,0,1,0,0,0,1,0,0
CLCN6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MFN2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PRDM2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
UQCRHL,1,0,1,0,1,0,0,0,0,0,0,0,0,0
FAM131C,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EPHA2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ARHGEF19,0,0,0,0,1,0,0,1,0,0,0,1,0,0
FBXO42,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NECAP2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RNU1.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CROCCP2,1,0,1,0,1,0,0,1,0,1,1,1,0,0
AL137798.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RNU1.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AL021920.3,0,0,0,0,0,0,0,1,1,0,1,0,0,0
ATP13A2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SDHB,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PADI2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
RCC2.AS1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AKR7L,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AKR7A3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SLC66A1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
MICOS10,1,0,0,0,1,0,0,1,0,0,0,1,0,0
MUL1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
FAM43B,0,0,1,0,0,0,0,0,0,1,0,1,0,0
CDA,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PINK1.AS,1,0,1,0,1,0,0,0,0,0,0,0,0,0
DDOST,0,0,1,0,1,0,0,0,0,0,0,0,0,0
KIF17,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ECE1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ECE1.AS1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
NBPF2P,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPL,0,0,1,0,0,0,0,0,0,1,0,0,0,0
HSPG2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LINC00339,1,0,1,0,1,0,0,0,0,1,0,1,0,0
AL031281.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LUZP1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZNF436,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ASAP3,1,0,1,0,0,0,0,0,0,1,0,0,0,0
E2F2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ID3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PITHD1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HMGCL,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IFNLR1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GRHL3,1,0,1,0,1,0,0,1,1,0,1,1,0,1
RCAN3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CLIC4,1,0,1,0,0,0,0,1,0,0,0,0,0,0
RSRP1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
MAN1C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SELENON,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AUNIP,1,0,0,0,1,0,0,0,0,0,0,0,0,0
STMN1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PAFAH2,0,0,0,0,0,0,0,1,0,1,0,1,0,0
ZNF593,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CNKSR1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CATSPER4,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CEP85,1,0,1,0,1,0,0,1,0,0,0,1,0,0
SH3BGRL3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DHDDS,1,0,0,0,0,0,0,1,0,0,0,1,0,0
GPN2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
GPATCH3,1,0,0,0,1,0,0,1,0,0,0,1,0,0
TENT5B,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHCHD3P3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WDTC1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
TMEM222,1,0,1,0,0,0,0,1,0,0,0,1,0,0
ACTG1P20,1,0,1,0,0,0,0,1,1,0,1,1,0,0
GPR3,1,0,1,0,1,0,0,0,0,1,0,0,0,0
WASF2,1,0,1,0,1,0,0,0,0,1,0,0,0,0
IFI6,1,0,1,0,1,0,0,0,0,1,0,0,0,0
RPA2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PTAFR,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SESN2,1,0,1,0,0,0,0,1,0,0,0,0,0,0
MED18,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SNHG3,0,0,0,0,1,0,0,1,0,1,0,1,0,0
AL513497.1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
SNHG12,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GMEB1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
YTHDF2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
MECR,1,0,1,0,0,0,0,0,0,1,0,0,0,0
MATN1.AS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SDC3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PUM1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
