chr,strand,geneSymbol,GeneID,Event,Algorithm,FDR,PValue,dPSI,M,PSI_1,PSI_2,Event_info,Annotation_leafcutter,Cutoff_dPSI,Event_type,Junc_coords,PdPSI,Comparison_Name
chr5,+,SMN2,,chr5:clu_18213_+,leafcutter,1.19785351162562e-24,1.5622138568347e-28,0.215724811002096,Success,0.192772664444141,0.408497475446238,logef:1.83229588060854|loglr:70.1386149837199|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70070751:70076521:clu_18213_+,cryptic,NA,NA,,NA,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_18213_+,leafcutter,1.19785351162562e-24,1.5622138568347e-28,-0.402867570357609,Success,0.418077329516591,0.0152097591589821,logef:-2.23240740591726|loglr:70.1386149837199|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70070751:70077019:clu_18213_+,cryptic,NA,NA,,NA,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_18213_+,leafcutter,1.19785351162562e-24,1.5622138568347e-28,0.211984563592887,Success,0.353729312852771,0.565713876445658,logef:1.55087820064045|loglr:70.1386149837199|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70076574:70077019:clu_18213_+,cryptic,NA,NA,,NA,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,,chr5:clu_18230_+,leafcutter,8.9703504696127e-20,3.11971498312836e-23,-0.251542026508896,Success,0.265594092983941,0.0140520664750452,logef:-1.80444485566184|loglr:55.8623489085312|df:4|genes:SMN1|N:5|coord:chr5:70946176-70952439|chr5:70946176:70952439:clu_18230_+,annotated,NA,NA,,NA,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,,chr5:clu_18230_+,leafcutter,8.9703504696127e-20,3.11971498312836e-23,0.192875364237472,Success,0.3618776317882,0.554752996025673,logef:1.56197169791296|loglr:55.8623489085312|df:4|genes:SMN1|N:5|coord:chr5:70946176-70952439|chr5:70951994:70952439:clu_18230_+,annotated,NA,NA,,NA,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.4421,,0.9785,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70951941,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.4287,,0.0066,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70952439,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4729,,0.0079,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70952439,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4796,,0.9919,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70951994-70952439,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN2,ENSG00000205571.14,ENSG00000205571.14:t:70077019-70077596,majiq_v2,NA,NA,0.1818,,0.8746,0.696,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|i|exons_coords:70070664-70070849;70071282-70071390;70076521-70076927;70077019-70077596|ir_coords:70076928-70077018,,0.1,NA,70076574-70077019,0.9991,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN2,ENSG00000205571.14,ENSG00000205571.14:t:70077019-70077596,majiq_v2,NA,NA,-0.1749,,0.1253,0.2948,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|i|exons_coords:70070664-70070849;70071282-70071390;70076521-70076927;70077019-70077596|ir_coords:70076928-70077018,,0.1,NA,70076928-70077018,0.9983,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.4421,,0.9785,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70951941,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.4287,,0.0066,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70952439,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4729,,0.0079,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70952439,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4796,,0.9919,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70951994-70952439,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.4421,,0.9785,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70946176-70951941,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.4287,,0.0066,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70946176-70952439,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4729,,0.0079,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70946176-70952439,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4796,,0.9919,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70951994-70952439,1,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4729,,0.0079,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.4,NA,70946176-70952439,0.9957,SH_BIO_1949634_10x_vs_SH_DMSO
